,Unnamed: 0.1,Unnamed: 0,class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,sciname,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
0,0,0,Aves,Accipitriformes,Accipitridae,Accipiter,albogularis,-999,Pied Goshawk,-999.0,-999.0,-999.0,251.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,352.5,223.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter albogularis,93514055,22695535,Accipiter albogularis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,albogularis,,,,"Gray, 1870",Least Concern,,3.1,Stable,Global
1,1,1,Aves,Accipitriformes,Accipitridae,Accipiter,badius,-999,Shikra,363.468,3.25,1.0,140.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.0,30.0,32.0,-999.0,-999.0,-999.0,168.5,125.0,123.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter badius,197951702,22695490,Accipiter badius,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,badius,,,,"(Gmelin, 1788)",Least Concern,,3.1,Stable,Global
2,2,2,Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,-999,Bicolored Hawk,-999.0,2.7,-999.0,345.0,-999.0,-999.0,-999.0,-999.0,-999.0,32.0,-999.0,-999.0,-999.0,-999.0,-999.0,390.0,212.0,-999.0,-999.0,-999.0,-999.0,39.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter bicolor,168769390,22695669,Accipiter bicolor,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,bicolor,,,,"(Vieillot, 1817)",Least Concern,,3.1,Decreasing,Global
4,4,4,Aves,Accipitriformes,Accipitridae,Accipiter,brevipes,-999,Levant Sparrowhawk,363.468,4.0,1.0,203.5,-999.0,-999.0,-999.0,-999.0,-999.0,21.85,32.5,42.5,-999.0,-999.0,-999.0,230.5,170.0,-999.0,-999.0,-999.0,-999.0,33.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter brevipes,198250662,22695499,Accipiter brevipes,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,brevipes,,,,"(Severtsov, 1850)",Least Concern,,3.1,Stable,Global
5,5,5,Aves,Accipitriformes,Accipitridae,Accipiter,castanilius,-999,Chestnut-flanked Sparrowhawk,-999.0,-999.0,-999.0,159.375,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,176.0,142.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter castanilius,93511134,22695486,Accipiter castanilius,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,castanilius,,,,"Bonaparte, 1853",Least Concern,,3.1,Decreasing,Global
6,6,6,Aves,Accipitriformes,Accipitridae,Accipiter,cirrocephalus,-999,Collared Sparrowhawk,-999.0,3.25,-999.0,180.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.75,-999.0,-999.0,-999.0,-999.0,-999.0,231.0,127.25,-999.0,-999.0,-999.0,-999.0,32.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter cirrocephalus,93518623,22695599,Accipiter cirrocephalus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,cirrocephalus,,,,"(Vieillot, 1817)",Least Concern,,3.1,Decreasing,Global
7,7,7,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,-999,Cooper's Hawk,730.0,4.35,1.0,452.0,20.33333333,-999.0,-999.0,28.0,-999.0,40.0,29.75,32.0,12.0,730.0,-999.0,529.0,338.5,452.0,-999.0,-999.0,-999.0,42.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter cooperii,93521264,22695656,Accipiter cooperii,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,cooperii,,,,"(Bonaparte, 1828)",Least Concern,,3.1,Increasing,Global
9,9,9,Aves,Accipitriformes,Accipitridae,Accipiter,erythropus,-999,Red-thighed Sparrowhawk,-999.0,2.0,-999.0,107.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.5,-999.0,-999.0,-999.0,-999.0,-999.0,146.0,84.7,-999.0,-999.0,-999.0,-999.0,24.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter erythropus,93516770,22695576,Accipiter erythropus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,erythropus,,,,"(Hartlaub, 1855)",Least Concern,,3.1,Decreasing,Global
10,10,10,Aves,Accipitriformes,Accipitridae,Accipiter,fasciatus,-999,Brown Goshawk,-999.0,3.0,-999.0,453.5,-999.0,-999.0,-999.0,-999.0,-999.0,31.0,30.0,30.0,-999.0,-999.0,-999.0,499.375,303.25,-999.0,-999.0,-999.0,-999.0,44.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter fasciatus,93513623,22695527,Accipiter fasciatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,fasciatus,,,,"(Vigors & Horsfield, 1827)",Least Concern,,3.1,Decreasing,Global
11,11,11,Aves,Accipitriformes,Accipitridae,Accipiter,francesiae,-999,Frances's Sparrowhawk,-999.0,3.0,-999.0,135.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,154.25,119.5,-999.0,-999.0,-999.0,-999.0,25.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter francesiae,93513268,22695508,Accipiter francesiae,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,francesiae,,,,"Smith, 1834",Least Concern,,3.1,Stable,Global
