genus_species,iucn_status,order,activity_cycle,metabolism_rate_g,metabolism_rate_mlO2hr,diet_breadth,homerange_km2,pop_density_nkm2
Abrothrix_olivaceus,LC,Rodentia,2.0,27.0,49.19,7.0,1.0,3211.81
Acinonyx_jubatus,VU,Carnivora,3.0,48900.0,17115.0,1.0,4.0,0.01
Acomys_cahirinus,LC,Rodentia,1.0,,,,1.0,2366.22
Acomys_russatus,LC,Rodentia,3.0,,,,1.0,3487.07
Acrobates_pygmaeus,LC,Diprotodontia,,14.0,14938.0,3.0,1.0,899.99
Aepyceros_melampus,LC,Artiodactyla,3.0,,,2.0,1.0,13.36
Aethomys_hindei,LC,Rodentia,,,,,1.0,2191.47
Ailuropoda_melanoleuca,VU,Carnivora,2.0,,,3.0,1.0,0.18
Ailurus_fulgens,EN,Carnivora,2.0,5345.0,838.36,3.0,1.0,
Alcelaphus_buselaphus,LC,Artiodactyla,3.0,,,2.0,1.0,3.65
Alces_alces,LC,Artiodactyla,2.0,,,1.0,4.0,0.4
Alouatta_guariba,LC,Primates,3.0,,,4.0,1.0,89.09
Alouatta_palliata,LC,Primates,3.0,4670.0,2027.4,2.0,1.0,58.99
Alouatta_pigra,EN,Primates,3.0,,,2.0,1.0,8.53
Alouatta_seniculus,LC,Primates,3.0,,,6.0,1.0,44.49
Amblysomus_hottentotus,LC,Afrosoricida,2.0,70.0,84.7,2.0,1.0,1000.0
Ammospermophilus_leucurus,LC,Rodentia,3.0,95.7,93.88,5.0,1.0,14.49
Ammospermophilus_nelsoni,EN,Rodentia,3.0,,,5.0,1.0,
Ammotragus_lervia,VU,Artiodactyla,,,,2.0,1.0,
Anomalurus_derbianus,LC,Rodentia,1.0,,,1.0,1.0,50.43
Antechinus_stuartii,LC,Dasyuromorphia,2.0,28.1,34.81,3.0,1.0,328.78
Antilocapra_americana,LC,Artiodactyla,,32000.0,8960.0,2.0,1.0,0.82
Antilope_cervicapra,NT,Artiodactyla,,,,5.0,1.0,4.25
Aonyx_capensis,NT,Carnivora,2.0,,,6.0,4.0,0.35
Aotus_trivirgatus,LC,Primates,1.0,972.5,459.45,3.0,1.0,24.37
Aplodontia_rufa,LC,Rodentia,,793.0,414.73,2.0,1.0,778.39
Apodemus_flavicollis,LC,Rodentia,,40.5,152.28,,1.0,1770.0
Apodemus_sylvaticus,LC,Rodentia,2.0,22.0,56.98,4.0,1.0,780.0
Apomys_musculus,LC,Rodentia,2.0,,,4.0,1.0,1124.83
Ateles_belzebuth,EN,Primates,3.0,,,2.0,1.0,13.49
Ateles_chamek,EN,Primates,3.0,,,2.0,1.0,3.39
Ateles_geoffroyi,EN,Primates,3.0,,,2.0,1.0,19.06
Ateles_paniscus,VU,Primates,3.0,,,6.0,1.0,8.0
Atherurus_africanus,LC,Rodentia,1.0,,,5.0,1.0,
Atilax_paludinosus,LC,Carnivora,2.0,,,6.0,1.0,
Avahi_laniger,VU,Primates,1.0,,,3.0,1.0,84.85
Avahi_occidentalis,EN,Primates,2.0,,,1.0,1.0,66.99
Axis_axis,LC,Artiodactyla,,,,,1.0,6.69
Axis_porcinus,EN,Artiodactyla,,,,3.0,1.0,16.5
Baiomys_taylori,LC,Rodentia,2.0,7.15,17.08,4.0,1.0,2464.99
Bassariscus_astutus,LC,Carnivora,1.0,,,6.0,1.0,3.58
Bathyergus_suillus,LC,Rodentia,,666.0,322.78,3.0,1.0,70.0
Batomys_granti,NT,Rodentia,,,,,1.0,383.46
Bettongia_gaimardi,NT,Diprotodontia,1.0,,,,1.0,19.0
Bison_bison,NT,Artiodactyla,2.0,,,2.0,3.0,0.28
Bison_bonasus,VU,Artiodactyla,2.0,,,2.0,1.0,0.88
Blarina_brevicauda,LC,Soricomorpha,1.0,20.4,59.36,6.0,1.0,922.93
Blarina_carolinensis,LC,Soricomorpha,,,,2.0,1.0,629.99
Brachylagus_idahoensis,LC,Lagomorpha,2.0,,,2.0,1.0,864.86
Brachyteles_arachnoides,EN,Primates,3.0,,,5.0,1.0,5.49
Bradypus_torquatus,VU,Pilosa,2.0,,,4.0,1.0,
Bradypus_variegatus,LC,Pilosa,2.0,3790.0,685.99,1.0,1.0,508.44
Bunolagus_monticularis,CR,Lagomorpha,1.0,,,3.0,1.0,
Callicebus_brunneus,LC,Primates,3.0,,,,1.0,
Callicebus_moloch,LC,Primates,3.0,,,3.0,1.0,18.43
Callicebus_personatus,VU,Primates,3.0,,,4.0,1.0,13.03
Callicebus_torquatus,LC,Primates,3.0,,,4.0,1.0,10.2
Callimico_goeldii,VU,Primates,3.0,,,2.0,1.0,2.08
Callithrix_aurita,VU,Primates,3.0,,,3.0,1.0,
Callithrix_flaviceps,EN,Primates,3.0,,,3.0,1.0,11.85
Callithrix_jacchus,LC,Primates,3.0,190.0,152.0,5.0,1.0,508.18
Callithrix_kuhlii,NT,Primates,3.0,,,4.0,1.0,59.0
Callithrix_penicillata,LC,Primates,3.0,,,,1.0,
Callosciurus_caniceps,LC,Rodentia,,,,,1.0,18.6
Callosciurus_erythraeus,LC,Rodentia,,,,3.0,1.0,622.69
Callosciurus_nigrovittatus,NT,Rodentia,3.0,,,6.0,1.0,5.75
Callosciurus_notatus,LC,Rodentia,3.0,,,6.0,1.0,98.32
Caluromys_philander,LC,Didelphimorphia,1.0,,,4.0,1.0,62.32
Camelus_dromedarius,EP,Artiodactyla,3.0,407000.0,40293.0,3.0,5.0,0.98
Canis_adustus,LC,Carnivora,1.0,,,6.0,1.0,0.74
Canis_aureus,LC,Carnivora,2.0,,,6.0,1.0,0.22
