,MSW05_Binomial,iucn_status,order,body_mass_g,15-1_LitterSize,3-1_AgeatFirstBirth_d
0,Abditomys_latidens,DD,Rodentia,268.09,0.0,
1,Abeomelomys_sevia,LC,Rodentia,54.88,1.0,
2,Abrawayaomys_ruschii,LC,Rodentia,62.99,0.0,
3,Abrocoma_bennettii,LC,Rodentia,250.5,4.86,
4,Abrocoma_boliviensis,CR,Rodentia,158.0,0.0,
5,Abrocoma_budini,DD,Rodentia,,0.0,
6,Abrocoma_cinerea,LC,Rodentia,193.64,2.19,
7,Abrocoma_famatina,DD,Rodentia,,0.0,
8,Abrocoma_shistacea,LC,Rodentia,,0.0,
9,Abrocoma_uspallata,DD,Rodentia,,0.0,
10,Abrocoma_vaccarum,DD,Rodentia,,0.0,
11,Abrothrix_andinus,LC,Rodentia,24.91,0.0,
12,Abrothrix_jelskii,LC,Rodentia,34.5,0.0,
13,Abrothrix_lanosus,LC,Rodentia,27.83,0.0,
14,Abrothrix_longipilis,LC,Rodentia,38.86,3.7,112.3
15,Abrothrix_olivaceus,LC,Rodentia,24.52,5.34,
16,Abrothrix_sanborni,NT,Rodentia,24.7,0.0,
17,Acerodon_celebensis,VU,Chiroptera,384.84,0.98,
18,Acerodon_humilis,EN,Chiroptera,,0.0,
19,Acerodon_jubatus,EN,Chiroptera,1087.04,1.0,
20,Acerodon_leucotis,VU,Chiroptera,,0.0,
21,Acerodon_mackloti,VU,Chiroptera,467.93,0.98,
22,Acinonyx_jubatus,VU,Carnivora,50577.92,3.28,1217.27
23,Acomys_airensis,LC,Rodentia,,0.0,
24,Acomys_cahirinus,LC,Rodentia,41.16,2.43,103.0
25,Acomys_cilicicus,DD,Rodentia,,0.0,
26,Acomys_cineraceus,LC,Rodentia,,0.0,
27,Acomys_dimidiatus,LC,Rodentia,,0.0,
28,Acomys_ignitus,LC,Rodentia,,0.0,
29,Acomys_johannis,LC,Rodentia,,0.0,
30,Acomys_kempi,LC,Rodentia,21.99,0.0,
31,Acomys_louisae,LC,Rodentia,20.19,0.0,
32,Acomys_minous,DD,Rodentia,62.5,0.0,
33,Acomys_mullah,LC,Rodentia,,0.0,
34,Acomys_nesiotes,DD,Rodentia,,0.0,
35,Acomys_percivali,LC,Rodentia,21.99,0.0,
36,Acomys_russatus,LC,Rodentia,42.35,2.5,
37,Acomys_seurati,LC,Rodentia,,0.0,
38,Acomys_spinosissimus,LC,Rodentia,26.5,2.71,
39,Acomys_subspinosus,LC,Rodentia,21.92,0.0,
