genus_species,iucn_status,order,activity_cycle,metabolism_rate_g,metabolism_rate_mlO2hr,diet_breadth,homerange_km2,pop_density_nkm2
Abrothrix_olivaceus,LC,Rodentia,2,27,49.19,7,1,3211.81
Acinonyx_jubatus,VU,Carnivora,3,48900,17115,1,4,0.01
Acomys_cahirinus,LC,Rodentia,1,,,,1,2366.22
Acomys_russatus,LC,Rodentia,3,,,,1,3487.07
Acrobates_pygmaeus,LC,Diprotodontia,,14,14938,3,1,899.99
Aepyceros_melampus,LC,Artiodactyla,3,,,2,1,13.36
Aethomys_hindei,LC,Rodentia,,,,,1,2191.47
Ailuropoda_melanoleuca,VU,Carnivora,2,,,3,1,0.18
Alcelaphus_buselaphus,LC,Artiodactyla,3,,,2,1,3.65
Alces_alces,LC,Artiodactyla,2,,,1,4,0.4
Alouatta_guariba,LC,Primates,3,,,4,1,89.09
Alouatta_palliata,LC,Primates,3,4670,2027.4,2,1,58.99
Alouatta_pigra,EN,Primates,3,,,2,1,8.53
Alouatta_seniculus,LC,Primates,3,,,6,1,44.49
Amblysomus_hottentotus,LC,Afrosoricida,2,70,84.7,2,1,1000
Ammospermophilus_leucurus,LC,Rodentia,3,95.7,93.88,5,1,14.49
Anomalurus_derbianus,LC,Rodentia,1,,,1,1,50.43
Antechinus_stuartii,LC,Dasyuromorphia,2,28.1,34.81,3,1,328.78
Antilocapra_americana,LC,Artiodactyla,,32000,8960,2,1,0.82
Antilope_cervicapra,NT,Artiodactyla,,,,5,1,4.25
Aonyx_capensis,NT,Carnivora,2,,,6,4,0.35
Aotus_trivirgatus,LC,Primates,1,972.5,459.45,3,1,24.37
Aplodontia_rufa,LC,Rodentia,,793,414.73,2,1,778.39
Apodemus_flavicollis,LC,Rodentia,,40.5,152.28,,1,1770
Apodemus_sylvaticus,LC,Rodentia,2,22,56.98,4,1,780
Apomys_musculus,LC,Rodentia,2,,,4,1,1124.83
Ateles_belzebuth,EN,Primates,3,,,2,1,13.49
Ateles_chamek,EN,Primates,3,,,2,1,3.39
Ateles_geoffroyi,EN,Primates,3,,,2,1,19.06
Ateles_paniscus,VU,Primates,3,,,6,1,8
Avahi_laniger,VU,Primates,1,,,3,1,84.85
Avahi_occidentalis,EN,Primates,2,,,1,1,66.99
Axis_axis,LC,Artiodactyla,,,,,1,6.69
Axis_porcinus,EN,Artiodactyla,,,,3,1,16.5
Baiomys_taylori,LC,Rodentia,2,7.15,17.08,4,1,2464.99
Bassariscus_astutus,LC,Carnivora,1,,,6,1,3.58
Bathyergus_suillus,LC,Rodentia,,666,322.78,3,1,70
Batomys_granti,NT,Rodentia,,,,,1,383.46
Bettongia_gaimardi,NT,Diprotodontia,1,,,,1,19
Bison_bison,NT,Artiodactyla,2,,,2,3,0.28
Bison_bonasus,VU,Artiodactyla,2,,,2,1,0.88
Blarina_brevicauda,LC,Soricomorpha,1,20.4,59.36,6,1,922.93
Blarina_carolinensis,LC,Soricomorpha,,,,2,1,629.99
Brachylagus_idahoensis,LC,Lagomorpha,2,,,2,1,864.86
Brachyteles_arachnoides,EN,Primates,3,,,5,1,5.49
Bradypus_variegatus,LC,Pilosa,2,3790,685.99,1,1,508.44
Callicebus_moloch,LC,Primates,3,,,3,1,18.43
Callicebus_personatus,VU,Primates,3,,,4,1,13.03
Callicebus_torquatus,LC,Primates,3,,,4,1,10.2
Callimico_goeldii,VU,Primates,3,,,2,1,2.08
Callithrix_flaviceps,EN,Primates,3,,,3,1,11.85
Callithrix_jacchus,LC,Primates,3,190,152,5,1,508.18
Callithrix_kuhlii,NT,Primates,3,,,4,1,59
Callosciurus_caniceps,LC,Rodentia,,,,,1,18.6
Callosciurus_erythraeus,LC,Rodentia,,,,3,1,622.69
Callosciurus_nigrovittatus,NT,Rodentia,3,,,6,1,5.75
Callosciurus_notatus,LC,Rodentia,3,,,6,1,98.32
Caluromys_philander,LC,Didelphimorphia,1,,,4,1,62.32
Camelus_dromedarius,EP,Artiodactyla,3,407000,40293,3,5,0.98
Canis_adustus,LC,Carnivora,1,,,6,1,0.74
Canis_aureus,LC,Carnivora,2,,,6,1,0.22
Canis_latrans,LC,Carnivora,2,10450,3699,1,2,0.25
Canis_lupus,LC,Carnivora,2,33100,11254.2,1,5,0.01
Canis_mesomelas,LC,Carnivora,2,,,6,2,0.74
Canis_simensis,EN,Carnivora,3,,,1,1,1.2
Capreolus_capreolus,LC,Artiodactyla,2,190000,78470,,1,7.61
Capreolus_pygargus,LC,Artiodactyla,2,,,,1,80
Capricornis_crispus,LC,Artiodactyla,,,,,1,1.98
Castor_canadensis,LC,Rodentia,2,,,3,1,0.6
Catagonus_wagneri,EN,Artiodactyla,3,,,6,1,9.24
Cavia_aperea,LC,Rodentia,2,,,1,1,1806.97
Cebus_albifrons,LC,Primates,3,,,5,1,16.79
Cebus_capucinus,LC,Primates,3,,,4,1,27.27
Cephalophus_natalensis,LC,Artiodactyla,3,,,4,1,6.92
Ceratotherium_simum,NT,Perissodactyla,2,,,1,2,0.47
Cercartetus_nanus,LC,Diprotodontia,1,65,55.9,4,1,788.66
Cercocebus_galeritus,EN,Primates,3,,,2,1,70.11
Cercopithecus_ascanius,LC,Primates,3,,,4,1,105.79
Cercopithecus_cephus,LC,Primates,3,,,3,1,21.04
Cercopithecus_diana,VU,Primates,3,,,3,1,16.47
Cercopithecus_mitis,LC,Primates,3,8650,3455.75,4,1,70.39
Cercopithecus_neglectus,LC,Primates,3,,,3,1,29.03
Cercopithecus_nictitans,LC,Primates,3,,,4,1,22.5
Cerdocyon_thous,LC,Carnivora,1,5592.83,1556.56,7,1,3.54
Cervus_elaphus,LC,Artiodactyla,2,,,5,4,2.9
Cervus_nippon,LC,Artiodactyla,2,,,2,1,0.75
Chaetodipus_fallax,LC,Rodentia,,19.9,30.2,3,1,502.5
Chaetodipus_nelsoni,LC,Rodentia,1,,,3,1,473.46
Chaetodipus_penicillatus,LC,Rodentia,,16,22.4,,1,172.99
Cheirogaleus_major,DD,Primates,1,,,5,1,67.99
Cheirogaleus_medius,LC,Primates,1,300,195,5,1,221.44
Chiropotes_albinasus,EN,Primates,3,,,3,1,6.57
Chiropotes_satanas,CR,Primates,3,,,3,1,15.6
Chrysospalax_trevelyani,EN,Afrosoricida,2,,,2,1,1000
Coendou_prehensilis,LC,Rodentia,1,3280,918.4,5,1,35.69
Colobus_guereza,LC,Primates,3,10625,3055,2,1,99.2
Colobus_polykomos,VU,Primates,3,,,2,1,23.5
Colobus_satanas,VU,Primates,3,,,3,1,26.57
Condylura_cristata,LC,Soricomorpha,2,,,2,1,4999.99
Conepatus_semistriatus,LC,Carnivora,1,,,6,1,9.52
Connochaetes_gnou,LC,Artiodactyla,2,,,2,1,34.62
Crocidura_russula,LC,Soricomorpha,,10.1,29.79,2,1,8850
Crocuta_crocuta,LC,Carnivora,1,,,1,2,0.12
Cryptomys_hottentotus,LC,Rodentia,2,95,74.55,1,1,816.08
Cryptoprocta_ferox,VU,Carnivora,2,,,2,1,0.88
Cryptotis_parva,LC,Soricomorpha,2,6.38,44.66,6,1,493.99
Ctenomys_talarum,LC,Rodentia,1,,,4,1,5187.48
Cuon_alpinus,EN,Carnivora,2,,,1,3,0.55
Cyclopes_didactylus,LC,Pilosa,1,240,114.48,1,1,32.4
Cynomys_gunnisoni,LC,Rodentia,3,,,5,1,669.1
Cynomys_leucurus,LC,Rodentia,3,,,1,1,546.43
Cynomys_ludovicianus,LC,Rodentia,3,1112.3,422.67,4,1,1830
Dactylopsila_trivirgata,LC,Diprotodontia,1,,,7,1,4
Dama_dama,LC,Artiodactyla,2,,,2,1,21.99
Dasypus_novemcinctus,LC,Cingulata,2,3510,866.97,5,1,20.37
Dasyurus_geoffroii,NT,Dasyuromorphia,2,1227,507.09,2,1,2.3
Dasyurus_hallucatus,EN,Dasyuromorphia,2,584,297.84,,1,16.24
Dasyurus_maculatus,NT,Dasyuromorphia,2,1782,588.06,3,1,3.49
Dasyurus_viverrinus,EN,Dasyuromorphia,2,910,409.5,4,1,19
Daubentonia_madagascariensis,EN,Primates,1,,,6,1,39.79
Dendrolagus_lumholtzi,NT,Diprotodontia,1,,,,1,116.18
Dicerorhinus_sumatrensis,CR,Perissodactyla,2,,,2,2,1.05
Diceros_bicornis,CR,Perissodactyla,,,,2,2,0.11
Dicrostonyx_groenlandicus,LC,Rodentia,,57.5,97.41,,1,518.17
Didelphis_albiventris,LC,Didelphimorphia,1,,,6,1,400
Didelphis_marsupialis,LC,Didelphimorphia,1,1329,611.34,3,1,70.5
Didelphis_virginiana,LC,Didelphimorphia,1,2951.5,719.07,4,1,18.08
Dipodomys_agilis,LC,Rodentia,,61,64.05,,1,687.9
Dipodomys_elator,VU,Rodentia,1,,,4,1,1284.37
Dipodomys_ingens,EN,Rodentia,1,,,3,1,3868.35
Dipodomys_merriami,LC,Rodentia,1,37,43.64,1,1,373.61
Dipodomys_microps,LC,Rodentia,1,55.7,60.15,3,1,1160.36
Dipodomys_ordii,LC,Rodentia,1,48.8,63.97,5,1,297
Dipodomys_spectabilis,NT,Rodentia,1,,,4,1,397.71
Dipodomys_stephensi,EN,Rodentia,,,,1,1,3379.99
Eira_barbara,LC,Carnivora,2,4135,1711.8,2,2,1.77
Elephantulus_rufescens,LC,Macroscelidea,2,53,56.86,5,1,200
Elephas_maximus,EN,Proboscidea,2,,,3,3,0.53
Enhydra_lutris,EN,Carnivora,3,18000,12060,6,1,6.46
Equus_zebra,VU,Perissodactyla,3,,,2,1,1.32
Eremitalpa_granti,LC,Afrosoricida,1,26.1,15.39,3,1,37.21
Erethizon_dorsatum,LC,Rodentia,1,,,6,1,3.49
Erinaceus_europaeus,LC,Erinaceomorpha,2,970.6,404.6,8,1,123
Erythrocebus_patas,LC,Primates,3,,,4,3,0.26
Eulemur_coronatus,EN,Primates,2,,,4,1,101.98
Eulemur_fulvus,NT,Primates,2,2374.5,746,3,1,221
Eulemur_macaco,VU,Primates,2,,,4,1,53.85
Eulemur_mongoz,CR,Primates,2,,,4,1,346.7
